679, 5759, 4625, 2831, 2457, 3750, 8402, 2753, 7884, 578, 1026, 2406, 689, 4959, 7896, 3774, 7398, 3418, 3061, 1180
697, 69, 8199, 8098, 8050, 4329, 3248, 2511, 6990, 4714, 7942, 6715, 3732, 4816, 7162, 7163, 349, 4622, 3434, 1555
1969, 1106, 3192, 5300, 1604, 4564, 4138, 2928, 4184, 1614, 849, 8488, 1449, 6133, 2591, 1511, 8334, 7748, 6416, 3707
45, 4315, 3487, 7166, 457, 7062, 8170, 671, 6467, 4081, 6404, 6654, 2596, 4806, 2592, 7359, 6797, 3591, 2760, 5273
1140, 6639, 1976, 658, 7627, 3578, 8036, 2160, 5158, 7328, 5633, 5116, 2828, 282, 7153, 4733, 6356, 4110, 228, 5671
3402, 529, 8164, 4841, 130, 1938, 5087, 7198, 4773, 8032, 3011, 6271, 5255, 909, 6878, 5296, 1374, 6308, 7291, 7257
3002, 26, 963, 4133, 4946, 7823, 3410, 6442, 3331, 5177, 5888, 1963, 2477, 6217, 5507, 6708, 1041, 4927, 5442, 5072
2732, 8297, 4901, 8048, 1389, 4194, 1307, 7612, 6488, 4795, 3855, 2652, 1657, 5163, 3413, 2267, 2806, 847, 4295, 7068
7521, 7021, 7457, 6942, 3370, 1869, 5530, 6573, 4849, 2750, 1168, 5603, 3445, 1907, 8110, 488, 5229, 219, 6991, 520
5720, 163, 6666, 3612, 43, 65, 2669, 75, 3360, 1790, 471, 990, 377, 3454, 1706, 2763, 181, 2869, 7374, 2574
7629, 3462, 4127, 7847, 2391, 4211, 4893, 4914, 4865, 5666, 5828, 826, 959, 40, 6072, 7622, 8253, 6480, 2834, 2779
6604, 932, 5570, 8425, 5251, 3961, 263, 4450, 6693, 4717, 358, 5784, 6008, 6481, 5019, 5579, 8344, 8226, 5393, 1503
7858, 7911, 2479, 5597, 1065, 6521, 3306, 6406, 5996, 6397, 4359, 777, 6851, 5236, 7888, 1519, 7801, 5895, 4753, 1229
2415, 3216, 2486, 7515, 5718, 7274, 3629, 7417, 5608, 557, 7508, 5502, 3070, 2323, 4647, 227, 7380, 6049, 3704, 2771
4896, 7032, 1204, 3916, 3669, 2443, 4835, 1161, 607, 6934, 514, 1987, 7866, 1592, 912, 24, 6311, 1104, 2810, 7686
7115, 929, 4938, 2080, 6500, 51, 66, 460, 8004, 5958, 3995, 6322, 4204, 1509, 5128, 6593, 7308, 7759, 1175, 8519
