6445, 6725, 4863, 19429, 7699, 1008, 7763, 21745, 24560, 15306, 269, 16011, 1231, 8520, 18486, 8380, 5542, 5784, 2664, 24540
645, 881, 20325, 24009, 5995, 22325, 11011, 4175, 21026, 1531, 17329, 22982, 16223, 13759, 20332, 22258, 23485, 17824, 8853, 13837
3281, 12697, 353, 2329, 20772, 1783, 23029, 11587, 9750, 1123, 9382, 20595, 600, 2435, 9602, 22594, 5242, 11345, 14220, 21848
10756, 1493, 1849, 506, 21713, 20317, 19773, 6816, 4476, 11509, 13962, 954, 1403, 2816, 21129, 9491, 23164, 10723, 12826, 2203
17681, 2446, 3027, 13804, 17994, 2668, 10686, 2716, 18489, 9070, 17589, 10510, 20518, 21478, 13537, 14756, 12356, 20152, 16878, 23416
3459, 10387, 8290, 18738, 16225, 24700, 14980, 9847, 1159, 11615, 22620, 16125, 21602, 6278, 1177, 14694, 23298, 15763, 5243, 7533
9881, 4055, 17529, 19523, 5230, 20713, 18815, 2258, 2708, 17551, 7068, 10643, 19832, 15509, 15307, 605, 24296, 18842, 6836, 23258
22596, 24324, 14989, 9743, 15274, 6952, 15505, 23039, 23522, 7450, 14626, 13972, 15898, 12718, 9008, 5647, 23244, 3466, 1705, 10568
5170, 17193, 14164, 306, 17924, 24875, 22826, 19869, 8777, 11111, 22496, 22306, 12866, 4424, 21590, 7803, 19324, 23495, 22102, 11431
15119, 1071, 7878, 5193, 21674, 24416, 15239, 13557, 21156, 11200, 8328, 8294, 16273, 2416, 20889, 5843, 10865, 18880, 1183, 6419
11352, 15497, 13691, 22018, 347, 6630, 21793, 940, 12768, 3124, 341, 10791, 17975, 24838, 17986, 14231, 21892, 5498, 21714, 13453
9573, 7811, 3436, 24228, 8878, 3799, 15924, 16000, 19259, 18983, 10733, 24292, 1688, 18528, 287, 19672, 9067, 18789, 5379, 4783
14188, 15040, 18694, 12179, 18391, 2477, 147, 9816, 6689, 23165, 7934, 17546, 11229, 8912, 5394, 7441, 24273, 2569, 23098, 21281
5846, 5128, 16893, 9670, 11791, 4518, 837, 6295, 5384, 10102, 19636, 19632, 12388, 5817, 23345, 3210, 24740, 22079, 5621, 3808
1782, 24044, 17623, 18816, 16670, 18755, 10954, 10866, 7094, 11872, 18297, 23307, 4876, 2933, 24531, 2404, 3501, 18646, 6231, 17251
14662, 8847, 6765, 218, 22630, 24280, 13795, 4003, 21605, 23985, 5433, 1303, 16299, 12391, 5747, 10729, 6780, 2783, 2479, 22304
2039, 13182, 7284, 21479, 15198, 21009, 2014, 14081, 10041, 20866, 6134, 12677, 19174, 23433, 5637, 11691, 22046, 18665, 14680, 15387
16969, 4672, 3117, 741, 2067, 15136, 23060, 14646, 21699, 1510, 1721, 21914, 12662, 22872, 14749, 3414, 11592, 6447, 18482, 4742
5498, 9858, 10911, 12714, 7829, 14880, 10246, 8160, 10959, 6359, 14780, 1980, 16752, 8027, 16492, 6273, 14494, 6361, 10941, 2711
1512, 20726, 3660, 4834, 12189, 18386, 15289, 427, 14611, 14954, 1095, 3464, 6395, 4453, 24626, 4425, 11527, 11219, 1982, 21094
14520, 6469, 17164, 18733, 15888, 23138, 20550, 15483, 14719, 6554, 11323, 24517, 3671, 6265, 9335, 2056, 12249, 496, 11041, 16428
3563, 10648, 5053, 4360, 22042, 16338, 22171, 85, 9697, 6941, 9716, 22928, 22800, 7473, 3736, 12364, 15847, 844, 22976, 19220
14626, 16576, 486, 18329, 11993, 2447, 12535, 3822, 5489, 10085, 5645, 13773, 18659, 21779, 718, 16569, 7171, 17976, 16447, 16185
